== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Cookie | easy | hidden in profiley's room, maybe because they store profiley's passwords. get it?
Crayon | easy | on a piece of paper (Hidden in Number Playground)
Dane | easy | hey (Hidden in City)
Dime | easy | golf ball dropped her dime (Hidden in Goiky)
Discy | easy | perhaps it's a disc to a game?
Donut | easy | being served as food... wuh oh (Hidden in City)
Euro | easy | how much will it cost? not even a euro. (Hidden in Fossil Falls)
Evil Marker | easy | he doesn't want to play toss the dirt anymore (Hidden in Floating Island)
Fire Citrus | easy | HOT HOT HOT!!! (Hidden in Jungle)
Fish | easy | blub blub blub (Hidden in Classic Roblox)
Fork Repellenty | easy | dropped on the floor (Hidden in Factory)
Greeny | easy | ball 2: the sequel (Hidden in Warehouse)
Hole in the Wall | easy | look for, well, a hole in the wall
Jetpacky | easy | In what situation could you POSSIBLY need a jetpack in a Warehouse for? This is the actual hint (Made by DrPepperHeinz)
Konpeito Jar | easy | excuse me, a what jar?? (Hidden in City)
Lamp Post | easy | "i'm seeing double!" that was  their last word (Hidden in City)
Lightning Cherry | easy | hidden on a board
Limbless Pin | easy | How did she manage to get on there without limbs? (Hidden in Floating Island)
Loser | easy | sitting in his throne. (Hidden in City)
Magician Hat | easy | everyone knows the famous spell, "yaba daba doo" (Hidden in Classic Roblox)
Mochi | easy | mochji (Hidden in City)
Needle | easy | needle in a haystack, how original (Hidden in Goiky)
Nickel | easy | on the ground somewhere.
Ninja Woody | easy | The suspiciously Woody shaped hole:
Orb | easy | floating orb, floating island
Ornament | easy | it's an ornament, yep. sorry i dont really have anyrthing to say (Hidden in Snowy)
Pearl | easy | look inside of a clump of cotton candy
Pickle Juice | easy | they really just need a moment to rethink their lifefe decisions (Hidden in Tropical Islands)
Piney | easy | what do you think pinecones are on?
Popcorn | easy | give me some of that popcorn (Hidden in Hotel)
Profiley | easy | pictures be like (Start in Goiky)
Roboty | easy | my brain keeps "resetting"
Ropey | easy | they're such a silly slithering little rope (Hidden in Goiky)
Rose | easy | bumblebees are out! (Hidden in City)
Rubber Spatula | easy | being sad at the death of a group. (Hidden in Goiky)
Sand | easy | behind something in the sand
Sandwich Roll | easy | on top of a giant plant (Hidden in Jungle)
SaulStories | easy | My Name is Saul and THese Are My Sttories. Watch Evan the Wolf! (Made by Meowbah)
Screen Door | easy | look inside the warehouse
Spongy | easy | sitting on the plane! (Hidden in Tropical Islands)
Spunce | easy | what is this thing even supposed to be? (Hidden at Hotel)
Sun Spray | easy | in an area where you need it most (not tropical islands though)
Swing | easy | does this even remotely resemble a swing?? (Hidden in Classic Roblox)
Tape | easy | they're in a "sticky" situation! im not funny (Hidden in City)
Teardrop | easy | something water perhaps.
Tophat | easy | very fancy (Hidden at Factory)
TV | easy | hiding under a flight of stairs
UFO | easy | did you know the population of jupiter is 60,802 (Hidden in Factory)
Wish | easy | get up there and make a wish! (Hidden in City)
Xmas Light | easy | (Hidden in Fossil Falls)
a | moderate | aaaaaaaa (Hidden in Desert)
A Duck | moderate | who doesnt play with them in the bath? (Hidden in Goiky)
Acacia Tree | moderate | literally stuck in a tree (Hidden in Number Playground)
Awesome Diamond | moderate | The more easy objects I add, the easier it gets to reach the 1000 medal, right? This is an actual hint btw
Barf Bag | moderate | Contemplating life: multifaceted in many ways yet following a pattern. Amidst a wave of ingenuity, compassion, creativity, and an ever increasing population of souls destined to part from this mortal plane or live on forever as memories. Life can best be defined as a dance of ideals and limitations. Nobody is perfect; neither you or me or ANYONE in this whole planet can call themselves flawless. While we may fight for our beliefs, it is important to remember that we all share the same basic components and should respect the beliefs of others instead of fighting because of them. Why barf bag of all objects to contain such a description like this? I don't know, I just felt like it. Expect more of these in the future I guess. Since you read all of this, Barf Bag is located on one of the museum's pillars. You'll need to get on top of the Library to reach. (Hidden in City)
Beanie | moderate | look inside of a bush (Hidden in Jungle)
Bermuda | moderate | make sure you don't get sucked in by them (Start in Classic Roblox) (Made by AccountDoesNothing)
Bowl of Petunias | moderate | mmmmm... delicious... you ever just eat a bowl of flowers (Hidden in Tropical Islands)
Canadian Flag | moderate | it still looks better than the canadian flag in r/place (Hidden in Classic Roblox)
Carrot | moderate | CARROT!!! (Hidden in Warehouse)
Charcoal | moderate | in a place full of fire and heat (Hidden in Snowy)
Cheesy Mayo | moderate | it's mayo... but CHEESY OOOokay so now it makes sense why they are right next to a dumpster (Hidden in City)
Chicken Nugget | moderate | do you want free chicken nuggets (Hidden in Classic Roblox. Start at Hotel.)
Clip | moderate | clipped onto a frame (Hidden in Desert)
Cloudy | moderate | Jump on a few platforms (Hidden in Goiky)
Coiny | moderate | the opposite of where nickel was (Hidden in Goiky)
Compass | moderate | Id suggest checking paper, but who knows lol
Computer Mouse | moderate | this one is actually not where you'd expect it to be (Hidden in Classic Roblox)
Cotton Candy | moderate | those are some nice looking cotton candy trees
Cranberry | moderate | i dont like cranberry (Hidden in Hotel)
Crazy Needle | moderate | At the end of the rainbow.
Crumbley | moderate | nice roof (Hidden in Factory)
Dreidel | moderate | they go spin (Hidden in Warehouse)
Duffel Bag | moderate | yeah (Hidden in Fossil Falls)
Electric Guitar | moderate | ah yes the void (Hidden in Floating Island)
Eraser | moderate | he's still climbing that string (Start in Goiky)
Ethernet Splitter | moderate | he's an ethernet splitter while this game is your internet splitter! (Hidden in Factory)
Fall Leafy | moderate | find a way up a tree (Hidden at Hotel)
Firey Plush | moderate | totally not hiding behind a cactus
Foldy | moderate | oh god shes falling! (Hidden at Hotel)
Football Player | moderate | somebody left their helmet somewhere
Four Plush | moderate | why wont people buy him?? (Hidden in City)
Glue | moderate | why would you handstand in glue??? (Hidden in Desert)
Hammer | moderate | do you think the person who invented hammers was eating a ham sandwich at the time? sorry just trying to make a bad joke (Hidden at Hotel)
Happy Birthday Card | moderate | it still isn't your birthday (Hidden in Snowy)
Hot Chocolate | moderate | obviously someone would want this during the cold
Hot Dog | moderate | hidden besides a structure (Hidden at Warehouse)
Isabella | moderate | i don't get it... it's just a purple ball (Hidden in Classic Roblox)
Jacknjellify | moderate | WHAT (Hidden in Floating Island)
Jordan | moderate | inside a restaurant, hmm i wonder which one...
Keytar | moderate | rock away little keyboard guy!!!! (Hidden in Classic Roblox)
King Pen | moderate | you were probably expecting me to make king pen one of the hardest objects in the game, but no all you get is a normal difficulty (Hidden in City)
Kitchen Sink | moderate | look for some bathroom stalls, which is weird since they are a kitchen sink
Leafy Plush | moderate | someone lost their plushie at home
Leek | moderate | behind a tree (Hidden in Floating Island)
Microphone | moderate | mic up (Hidden in Warehouse)
Modern Art | moderate | this and lollipop's scribble are pieces of art (Hidden in Hotel)
Mr. Fish | moderate | fishes... fisHES... FISHESS!!
One | moderate | most forgettable number in bfb. i am writing this two years later to say that this didn't age well (Hidden in Number Playground)
Paint Palette | moderate | it's in something pink..
Pen | moderate | on a table, being used as a regular item.
Pencil | moderate | find a paper on the ground and click on it.
Price Tag | moderate | the roofy roof was a cool roof.
Puppet | moderate | behind a door somewhere
Puzzle Piece | moderate | on a table or a shelf...
Rainbow | moderate | check on the rainbow at floating island
Rainbow Puppy | moderate | yay puppeee (Hidden in Floating Island)
RoboBoi | moderate | put on these glasses, and you'll ent- hey wait didn't i already make that joke? (Hidden in Hotel)
Rutabaga | moderate | (Hidden in Classic Roblox)
Salt Lamp | moderate | salti lampi (Start in Goiky)
Science Book | moderate | wall wraparound moment (Hidden in Floating Island)
Shuriken | moderate | i'm a ninja!! (Hidden in Jungle)
Smokebox | moderate | Click a suspicious button in a place that sells food.
Sock | moderate | all alone under the bed (Hidden in Floating Island)
Space Book | moderate | haha i have no idea what to put here (Hidden at Hotel)
Spray Bottle | moderate | (Start in City)
Steamy | moderate | oh no, a cloudy ripoff!! (Hidden in Goiky)
Sticker | moderate | you'll never be able to beat this one!!! ruahahahahahahaha!!!!!!!!!!!! (Start in Desert) (Made by 0OFunkyPurple)
Sugar Cube | moderate | well, there's only one way on that lollipop
Taco | moderate | reference to bfb 29 (Hidden in Goiky)
Toilet Paper | moderate | they will not know the trauma of being used (Hidden in Number Playground)
VHSy | moderate | go back to the 80's where you belong! (Hidden in City)
Vibe Check X | moderate | looks like you're going to the E.X.I.T. realm jimbo (Hidden in Snowy)
Waffle | moderate | todays menu! waffle..? (Hidden in City)
Wallet | moderate | gee, sure hope no one will steal this wallet in the headquarters! (Hidden in City)
Watermelon Slice | moderate | tree climbing simulator (Hidden in Fossil Falls)
Winner | moderate | somewhere near loser where i wont tell
Yo-Yo | moderate | right next to a mouse hole (Hidden in Factory)
Zipper | moderate | they're so little (Hidden in Classic Roblox)
8-Ball | normal | What is the thing on his head? (say in chat)
9-Ball | normal | near their twin
Amethysty | normal | cool, i guess (Hidden in Tropical Islands)
Awesome Face | normal | not quite epic, but still awesome (Hidden in Jungle)
Baking Soda | normal | how tasty (Made by lowk3y_TJ) (Start in Warehouse)
Ball | normal | looks they got bounced up too high... they landed straight onto a tree! (Hidden in Number Playground)
Balloony | normal | try jumping off of a high building to it (Hidden in City)
Bally | normal | every sport needs a ball! i don't think this is the right type
BFDI Marker | normal | funny how this is the 3rd marker-related object in the game (Hidden in Classic Roblox)
Bitty | normal | what is an area that's very retro-like?
Blender | normal | click a poster that totally isnt about a blender
Bottle | normal | yoo check out that big R! (Hidden in City)
Bracelety | normal | watching ice cube is fun. (Hidden in Snowy)
Butter | normal | This is Butter. From This game. (Hidden in City)
Buzzsaw | normal | It's everyone's favourite object, Bu- hey wait... what are they doing here?! (Hidden in Factory, made by
Car Engine | normal | vroom (Hidden in City)
Cave Drawing | normal | a drawing to be forgotten (Hidden in Factory)
cheese | normal | i should have never put custom avatars into the ultra mega fart donation perks (this is a repeat of fredster's description) (Start in Warehouse)
Chestnut | normal | (Hidden in Fossil Falls)
Chocolate Bar | normal | i'll let you figure this one out on your own
Clover | normal | sticking out of a bush [Hidden at Warehouse]
Cologne | normal | think about it, where are you gonna go when you need to find cologne?
Cookie Pizza | normal | ... maybe it's a good thing they're hidden... (Hidden in Classic Roblox)
Dark Gemstone | normal | chilling at the peak of the fossil falls (Made by 3RR0R_B0I)
Domino | normal | in the yellow face warehouse
Drinky Bird | normal | Hidden in City
Fettuccine | normal | the first floating island update in one million years (Hidden in Floating Island) (Made by lowk3y_TJ)
Firey Jr. | normal | in fire?
Fourteen | normal | they're a little silly (Hidden in Number Playground)
Green Egg | normal | look inside of the jungle
Hexagon | normal | if only hexagon was invented in latin (Hidden in Jungle)
Kabab | normal | look beneath fries' table (Hidden in City)
Lemonade | normal | this lemonade is minging (Hidden in Desert)
Lightning | normal | up in the sky (Hidden in Goiky)
Lollipop | normal | that lollipop is tasty!
Meat Cube | normal | wall flicking, how fun! (Hidden in Warehouse)
Metal Scrap | normal | more like uhh... metal CRAP. i am a little #edgy (Made by FunkyPurple) (Start in Floating Island)
Milkshake | normal | (Start  in Candyland)
Nine and Six Combined | normal | jacknjellify knew exactly what they were doing (Hidden in Number Playground)
Pasty | normal | is this supposed to be pasta (Hidden in Jungle)
Plump Dog | normal | plump th dog (Hidden in Desert)
Pop Tart | normal | just being a pop tart (Start in Candyland)  (Made by cluxser2)
Purple Dragon | normal | that foolish dragon (Hidden in Fossil Falls... you can almost definitely see it.)
Robot Flower | normal | behind something, i aint telling you what. (Hidden in Factory)
Rocky | normal | Can someone PLEASE help him get out!? He's being a pest. (Hidden in City)
Ruby | normal | check inside the factory area
S'mores Milkshake | normal | smores are yummy and milkshakes are yummy, so why not? (Hidden in Classic Roblox)
Seaweed | normal | find a group of seaweed on the corners of the map (Made by Ohlegess)
Slug | normal | MAKE IT STOP (Hidden in Desert)
Snake | normal | be careful of the lurking jungle snakes
Taco Guy | normal | it's not taco, it's taco guy, get it right (Hidden in Jungle)
Triangle | normal | why are they so mad what went wrong (Hidden in Classic Roblox)
USB | normal | look behind a tree, not just any tree though (Hidden in City)
V | normal | ectored (Hidden in Number Playground)
Banana | intermediate | same deal as pasty (Hidden in Jungle)
Bird | intermediate | hoot hoot tweet tweet (Hidden in Classic Roblox)
Blanket | intermediate | they going zzzzzzzz (Hidden in Goiky)
Blue Lion | intermediate | first yellow leopard, then red elephant, and now THIS? (Hidden in Floating Island)
Blue Shiny Coiny | intermediate | i've got my own style! (Start in Goiky)
Boom Mic | intermediate | (Start  in Candyland)
Bready | intermediate | me when the uhhh errr uhhh ummm bread (Hidden in City)
Cartridge | intermediate | find a cave
Chanterelle | intermediate | ah yes the void (Hidden in Floating Island)
Chef David | intermediate | aw seriously? another david? (Hidden in Candyland)
Crate | intermediate | what else is there that contains items? (Hidden in Desert)
David | intermediate | noclip into something unexpected
Davidworm | intermediate | i wish i lived in a timeline where this didnt exist (Hidden at Hotel)
Dollar Bill | intermediate | look inside of a bush (Hidden at Warehouse)
Flower Crown | intermediate | i don't know what to make the description, but to be fair i never do (Hidden in Jungle)
Fortune Cookie | intermediate | someone dropped them on the floor (Hidden in City)
Four and X | intermediate | it isn't a badge hunt game without a cliche teamwork one (Hidden in Number Playground)
Genderfluid Book | intermediate | should have made this during pride month darn (Hidden in City)
Good Rhombicosidodecahedron | intermediate | he wants to be just like his father! [start in warehouse]
Green Rocky | intermediate | green rocky!!! do the thing!!! HOW COULD THIS HAPPEN?!?!? (Hidden in Jungle)
Idoit | intermediate | idoit will never be forgotten (Hidden in Goiky)
Knifeball | intermediate | they give out terrible advice alphabetically (Hidden in Warehouse)
Lever | intermediate | complete an obby at the factory
Lip Gloss | intermediate | check behind vases (Hidden in Hotel)
Mail | intermediate | you've got mail (Hidden in Classic Roblox)
Meteor | intermediate | OH GOD WE'RE ALL GOING TO DIE!!!!!!!!!!!!! (Hidden in Classic Roblox)
Miku | intermediate | klaptai would be proud
Milli Book | intermediate |  (Start in Candyland)
Pea | intermediate | did you eat your peas today (Hidden in Classic Roblox)
Pixelated Heart | intermediate | i wonder what that heart is doing (Hidden at Hotel)
Remote | intermediate | that remote looks cool.
Sand Jar | intermediate | they definitely hate mondays (Hidden in Desert)
SD Card | intermediate | find an invisible path near planks of wood (Hidden at Factory)
Seven | intermediate | not what you think it is... (Hidden in Number Playground... or is it?)
Six | intermediate | they're alone in the sky (Start in Goiky)
Spoony | intermediate | why would you use them anyway? (Hidden in City)
Succulent | intermediate | THIS IS NOT HOW GRAVITY WORKS I THINK (Hidden in Floating Island)
Symbol | intermediate | this is the symbol of crying because you have to do spongezilla legit
Tabley | intermediate | Get up the difficulty chart.
Texas Donut | intermediate | something is off about where succulent is... (Hidden in Floating Island)
Well | intermediate | oh well (Hidden in Tropical Islands)
Air | hard | everyone give a round of applause to our 5th nonexisty (Hidden at Hotel)
Among Us X | hard | HI GELATIN (Start in City)
Barf Molecule | hard | look in the city... something yellow
Blob | hard | you need to vote for them, but how?
Bowling Ball | hard | look inside seven's quiz room
Bright Radiant Plasma Needle | hard | Needle Family Reunion!
Calculator | hard | i hope you're good at square root
Candy | hard | somewhere with a lot of candy
Candy Corn | hard | i am the ONLY ONE who actually likes candy corn???? (Start in Candyland)
Cary | hard | NO WAY IT'S CARY HIMSELF!!! (Hidden in Classic Roblox)
Cat | hard | taking stuck on a tree to the next level (Start in City)
Chocolate Chip | hard | find a code at candyland
Chocolate Pop | hard | this is literally just cake pop 2 (Hidden in Candyland)
Coffee Bean | hard | (Hidden in Fossil Falls)
Diskette | hard | gotta risk it for the diskette (Hidden in Factory)
Eggy | hard | behind a shelf in the city
English Cream Cake | hard | on top of a fridge somewhere (Start in City)
Fire Spatula | hard | remember, x marks the spot!
Fossil | hard | click on a fossil somewhere...
Fridge | hard | that's it? IT'S JUST A FRIDGE?? (Start in City)
Fronk | hard | "I'm fronk! FTBC? UGH. More like Find the BUH. Winter disapproved." (Look below the water...)
Gear | hard | this definitely grinds my gears (Hidden in City)
Giant Tree | hard | it's a giant tree (Start at Warehouse)
Gifty | hard | find 5 gifts around the place and then find a bunch of gifts laying around at factory
Halporhini Cube | hard | that's a weird looking cube (Start in Warehouse)
Ice Cube | hard | ice?
Irony | hard | insert joke about irony here (Hidden at Factory)
Jawbreaker | hard | find a way onto a lollipop (Hidden in Candyland)
Liy | hard | find a hidden light switch somewhere
Mardi Gras Bead | hard | (Hidden in Fossil Falls)
Marimo Ball | hard | talk about camo... (Hidden in Goiky)
Mechanical Pencil | hard | used for mechanical reasons (Start in Calculator's room)
Minty | hard | people who actually like mint are crazy and you should stay as far away from them as possible (Hidden at Hotel)
Nine | hard | oh no, he lost his skateboard! find it and click it!
Palmy | hard | underneath the map lies a upside down tree...
Peanut Butter | hard | what? only 96 chocolate balls?? OUTRAGEOUS!! (Hidden at Hotel. Find four chocolate balls around the map)
Pebble | hard | rocks are merely big pebbles (Start in Goiky)
Purple Face | hard | you do not know anything, you're... PURPLE!!! (Start in City)
Rollarskate | hard | A pair of skates so cool that they don't even follow the laws of physics. (Hidden at Warehouse)
Slide Man | hard | look at em go (Hidden in Jungle)
Spark Plug | hard | find a way onto a roof (Hidden in Classic Roblox, but start at the Hotel.)
Sundae | hard | nice and fresh, i sure hope it doesn't fall over (Hidden in Candyland)
Tablety | hard | find a window on the headquarters that are different from the rest
Titanium Knife | hard | start by finding a button in desert.
Tri-Tri | hard | there's something off with a nose somewhere... perhaps it's frostbite?
Tungsten | hard | she up all night grindin' my gears
Two Halves | hard | awh
Vomit Drop | hard | look underneath a platform in a certain factory
Yellow Face | hard | what do you use to film? (Start in City)
Battery | difficult | think about it, what item needs you to put a battery in?
Black Marker | difficult | how does an object simply noclip through reality? (Start in Spawn)
Blue Needle | difficult | Those legs explain some things... Hidden with her peers, obviously.
Blue Square | difficult | look in somewhere purple (Start in City)
Bluecky | difficult | i'm BLUE!!!!! DABABDEE!!!!!!! DABADI!!!!!! (Start in Fossil Falls)
Boaty | difficult | this is a VERY clutch jump (Hidden in Tropical Islands)
Box Fan | difficult | inside of a factory room
Clapboard | difficult | find a way out of yellow face's room, maybe a hidden door?
De Stijl | difficult | definitely the artwork of all time (Hidden in Classic Roblox)
Dora | difficult | find a way to noclip in the backrooms itself
Em | difficult | oh em gee (Start in Fossil Falls)
Fire | difficult | don't let them get anywhere near that world ending bomb... oh for petals sake (Hidden in Warehouse)
Fish Bowl | difficult | check under the map
Four | difficult | outside of something. (Start in Goiky)
Function | difficult | i am dearly sorry for where i put this one (Hidden at Warehouse)
Hailairhous | difficult | asdpisdau9u1jxjzkjf'sdaidps (Hidden in Snowy)
Headphones | difficult | someone threw away their headphones somewhere (Hidden near Tennis Ball)
Image | difficult | find a way into the factory room
Jingle Bell | difficult | jingle jingle jingle (Start in Goiky)
Junior | difficult | david jr!!!!! real!!!! (Start in Goiky)
Lasagna | difficult | box fan just needs some lasagna (Hidden in Factory)
Lily | difficult | where am i!! (Start in City)
Long Marker | difficult | uhhhhhhhhhh (Start in Goiky)
Metal Leafy | difficult | do an obby under the map.
One Way Sign | difficult | i have nothing for this one i genuinely don't (Hidden in Jungle)
Orange Cat | difficult | what a silly little guy (Hidden in Tropical Islands)
Paper | difficult | look around the hall of fame
Pastel Feather | difficult | how silly (Start in Goiky)
PDA | difficult | you have to click something on a wall
Portable Music Player | difficult | get into purple face's mouth
Puffball | difficult | i believe i (can't) fly (Hidden in Goiky)
Santa Hat | difficult | get to santa hat's sleigh!
Shampoo | difficult | maybe try checking seven's area?
Snowball | difficult | uh oh ball obby
Swiss Roll | difficult | three words: tap to move
Tennis Ball | difficult | there is two parts of a code in City and Snow, make sure to put /e before it!
Tennis Ball Speaker Box | difficult | in tennis ball's garbage pile
The First Frame | difficult | yeah, i know, she was so surprised (Start in Goiky)
Touch-Tone | difficult | real!!! (Start in Goiky)
Tropical Virtual Pet Lizard | difficult | oddly specific but ok (Hidden in Tropical Islands)
Wet Clay | difficult | poor clay never saw it coming (Start in Fossil Falls)
Win Token | difficult | this object is SLOP. (Start in Tropical Islands)
World Map | difficult | you might randomly find them while looking down
Yellow Watermelon | difficult | ceritifed materwelon (Hidden in Jungle)
Yoyle Pie | difficult | a delicate meal enjoyed by everyone... except king cake (Start in Goiky)
YSA Status | difficult | look, ok. if you had to add the 1025th character to a game about a show that only has about 150 relevant characters, what would YOU add?
Air Freshener | extreme | they just want to freshen the air... or the void i guess (Hidden in Candyland)
Beach Ball | extreme | oh no, they're drowning!! press three buttons in each area to create a path: tropical islands, number playground, and candyland
Bead | extreme | that_beadyboi (Hidden in City)
Bomby Plush | extreme | on the ceiling (Hidden in City)
Cake Pop | extreme | what a lovely day innit bruv (Start in Candyland)
Comet | extreme | push a boulder to a certain button, then return to the desert area
Controller | extreme | uhhhh cheat the obby (its a /e code)
CRT | extreme | No description
Dog Collar | extreme | they're stuck in the CRC
Earth | extreme | clip inside the interior of a building
Evil Bubble | extreme | i'm glad that i get to do a key door puzzle. AGAIN. (Hidden in Desert, find a key)
Falafel | extreme | something seems off about gelatin's menu...
Gashapon Capsule | extreme | im (Hidden in Snowy)
Green Square | extreme | (Hidden in Jungle)
Homeless Spooky | extreme | spooky needs money help him (Start in Hotel, find a hat)(Made by @Just_Summa)
Income Tax Return Document | extreme | just thinking about their life decisions... (Start in City)
Irregular Polygon | extreme | is it REALLY a polygon if it has circular sides? (Hidden near... something red, in the sky) (Made by NTailsGoBrrrrr)
Lava Ball | extreme | >:) (Start in Desert)
Lego Brick | extreme | don't step on it please i'm begging you (Hidden in Desert)
Microwave | extreme | chilling at the worst possible spot (Start in City)
Mocha | extreme | do i need it? (Start in Candyland)
Omega | extreme | omaga
Pie | extreme | mari? oh... (Start in Candyland)
Pixely | extreme | don't worry it's not actually the size of a pixel (Hidden in Jungle)
Poker Chip | extreme | something red... (Hidden in City)
Puffball Speaker Box | extreme | it's cake at STAAAAAAAAAAAAA (Start in Candyland)
Raising Cane's Cup | extreme | who up raising they canes rn (Made by lowk3y_TJ) (Start in Candyland)
Red Mushroom | extreme |  (Start in Candyland)
Revolver | extreme | high from the ground somewhere, you will need some people to help
Shoiyta | extreme | I.. I'M SHOIYTA!!!!! i know this is from greeny's grand game but i just couldn't resist it (Hidden in Desert)
Steamboat Hat | extreme | one must imagine steamboat hat happy (Start in Factory)
Strudel | extreme | there is so little detail on this that it doesn't even resemble a strudel anymore (Start in Candyland)
Taco With Tophat | extreme | what a fancy taco (Hidden in Jungle)
Tune | extreme | find a pair of headphones in tennis ball's room
Uni | extreme | they gave up pushing that boulder after so many years (Hidden at Factory... sorta)
Vanilla Milkshake | extreme | i don't care what anyone has to say, vanilla is the goat (Start in Candyland)
Weird Speaker Box | extreme | walk a long way after announcer (Start in City)
Beanbag | unforgiving | comfiest chair in the world (Start in City)
Cake | unforgiving | the cake is a lie (Start in PDA's Room)
Credit Card | unforgiving | Okay, so if you just tell me your credit card number as well as the three little numbers on the back, you can get this object! Deal? (Start in City)
Demonic Painting | unforgiving | what a joyous painting! (Made by Ohlegess) (Start in Goiky)
Drilly | unforgiving | clip out of bounds then clip out of the clipped bounds... clipception
Earphone Shotgun | unforgiving | corner clip on a suspicious wall (press F)
Exploding David | unforgiving | ruh roh.. who gave david a bomb head (Start in City)
Feet | unforgiving | find a controller in the headquarters
Firey Speaker Box | unforgiving | gotta complete an obby (Start in Desert)
Gumbally | unforgiving | someone put their gum under the table.... of course (Start in Goiky)
Lampy | unforgiving | don't ask why this one is insane difficulty (Start in Goiky)
Leafy Jr. | unforgiving | if there is a leafy jr. then what would evil leafy jr. look like? (Hidden in Jungle)
Monarch | unforgiving | why is it called a monarch why why wh (Start in Goiky)
Onigiri | unforgiving | don't even think about pushing that button... (Start in City)
Ordinary Banana... | unforgiving | what time is it??? find three buttons in floating island, classic roblox, and somewhere else.. (Made by This_manisnothim)
Peanut | unforgiving | look inside of the jungle trees
Quartz | unforgiving | find a key to a crate
Roboty-y | unforgiving | i think it should be clear where this one is located
Spike Ball | unforgiving | don't like moving forests? then maybe you'd like this (Start in Goiky)
Stool | unforgiving | look around in classic roblox
Sun | unforgiving | wait.. the SUN?!?!? (Hidden in Goiky)
Thirteen | unforgiving | not gonna say where, but its near something purple
Tombstone | unforgiving | rip (Hidden in Fossil Falls)
Yellow Leopard | unforgiving | heck (Hidden in Desert)
Zombified Barf Bag | unforgiving | find a wrench to unlock access to the sewers
Black Hole | insane | There are pieces of code scattered throughout Spawn and Snow areas, find all 5 pieces and then go to Factory area.
Bubble | insane | oh lord why do i love invisible platforms so much. (Start in City)
Buh | insane | hey guys, it's me, buh! and welcome... to the buh-ly object show! (Start in Warehouse)
Feather | insane | he's way too far in the sky for you to reach... perhaps if you had a friend to help?
Flower Speaker Box | insane | shes near firey speaker box
Four Colored Gelatin | insane | GELATIN WHAT DID THEY DO TO YOU (Start in Goiky)
Frozen Yogurt | insane | Start in Candyland
Geode | insane | Just another hump of trash in the sewers.(Start at Hotel)
Gingerbread Man | insane | do you know the muffin man (Start in Number Playground)
Laser Pointer | insane | not exactly the most ideal place to be (Start in City)
Pride Cat Firey | insane | rawr nya X3 (Start in City)
Shinyleaf | insane | oooo shiny (Start in Candyland)
Sippy | insane | hmmmmmmmmmmmmmmmmmmmmmmmmm (Start in City)
THE GET AWAY FROM ME BUTTON!!!!!!! | insane | looks like two dropped his button somewhere
Trash Can | insane | heya mmm no hints!
Two | insane | invisible platforms are cool. (Start in Goiky)
X | insane | kick down something... (Start in Goiky)
Bandana | dreadful | find a pathway that leads somewhere outside (Start in City)
d | dreadful | hidden somewhere that contains a d (Start in Tennis Ball's room)
Immortality Thing | dreadful | IMMORTALITY!!!!!!! (Start at Hotel) (Made by KingOfChomiks90)
Jellybean Jar | dreadful | that's a nice jar of jellybeans there (Made by lowk3y_TJ) (Hidden in Candyland)
Oodle | dreadful | something lies deeper within the EXIT...
Sad Cloudy | dreadful | find yourself in an unfortunate predicament after trying to cheese a certain character
Safe | dreadful | he's safe to where no one can find him... right? (Start in City)
Torch | dreadful | it's torc (Start at Factory)
Troll Face | dreadful | problem? (Start at Factory, get trolled.)
Chicken Nuggets | terrifying | find a way to destroy a barrel at desert. anything for the nuggets!!!
Evidence Bag | terrifying | to see this description first you must find evidence of DEEZ NU- (Start in Factory)
Quereltrajankyn | terrifying | what in the world is that (Made by KingOfChomiks90), (Start in spawn, maybe look up?)
ReplicatedStorage | terrifying | start in classic paradise. find a teleporter. (Made by ThirteenthJade)
Sharp | terrifying | honey, you okay? you'VE haRd1y t0ucHed YOur !(%!^*@!^! (Start  in Candyland, drop down)
Slime Flashlight | terrifying | press a button in a mechanical area to drain out some slime (Made by KingOfChomiks90)
This is Sparta-Y | terrifying | ...madness? (Start in Desert)
Alien | arduous | find 8 buttons scattered around the entire overworld, no hints!
Boblob | arduous | start by looking near black hole
Burger | arduous | MUST.... OBTAIN.... THE BURGER!!!!!!!! (Start in the Fourest)
Filler | arduous | we love filler objects here! also i'm not giving you a hint.
Nanoboty | arduous | want to do some math? no? well too bad!
Nonexisty | arduous | up in the sky?
Studio | arduous | start by finding a QR code on the main map, you must have roblox studio to get this one! (Made by NTailsGoBrrrrr)
Throne | arduous | near the FORBIDDEN ORB.
Tiddles | arduous | yellowstickmanyt killed his pet fish tiddles, by throwing him out a window. now he's a cat's lunch!
Ulm | arduous | look near where fedora is
Brainy | strenuous | you need a BIG BRAIN to understand this one. (Hidden in Hall of Fame, but start in Midnight Rooftops. Then, go to the park behind City and insert the correct color combination.)
Cauldron | strenuous | find three potions to finish off the cauldron in the jungle. (Made by Just_Summa)
